pageid,title,wikidata,label
393779,Hun Sen,Q57788,Hun Sen
876507,Hor Namhong,Q58287,Hor Namhong
1046517,Norodom Sihamoni,Q57319,Norodom Sihamoni
2577098,Sar Kheng,Q16150274,Sar Kheng
18006515,Yim Chhaily,Q8053618,Yim Chhaily
18006902,Kong Sam Ol,Q16190676,Kong Sam Ol
18014651,Thong Khon,Q7795953,Thong Khon
18014691,Chhay Than,Q5094851,Chhay Tan
18014714,Sun Chanthol,Q7638222,Sun Chanthol
18015000,Suy Sem,Q16191229,Suy Sem
18015034,Tea Banh,Q4922569,Tea Banh
18015039,Cham Prasidh,Q5069253,Cham Prasidh
18015085,Men Sam An,Q6816221,Men Sam An
19160532,Khieu Kanharith,Q4922790,Khieu Kanharith
42663777,Hangchuon Naron,Q16864093,Hangchuon Naron
42858283,Aun Pornmoniroth,Q16979822,Aun Porn Moniroth
43583538,Ouk Rabun,Q7878253,Ouk Rabun
43583579,Phoeurng Sackona,Q17523926,Phoeung Sakona
49851353,Prak Sokhonn,Q23771428,Prak Sokhon
53531406,Bin Chhin,Q28969538,Bin Chhin
58160643,Ing Kantha Phavi,Q28412157,Ing Kuntha Phavi
58171499,Say Sam Al,Q56223136,Say Sam Al
58273477,Mam Bunheng,Q56255440,Mam Bunheng
58467209,Chea Sophara,Q22099925,Chea Sophara
59272330,Pan Sorasak,Q59660308,Pan Sorasak
70650104,Ke Kim Yan,Q111745856,Ke Kim Yan
