item,rank,gender,isIdentity,hasref,refitem,exurl,wmurl,wmproj
Q111574173,NormalRank,Q6581097,true,false,,,,
Q111745856,NormalRank,Q6581097,true,false,,,,
Q114418501,,,,false,,,,
Q114418571,NormalRank,Q6581097,true,false,,,,
Q114418804,,,,false,,,,
Q114418806,,,,false,,,,
Q114418808,,,,false,,,,
Q114418809,,,,false,,,,
Q114418811,NormalRank,Q6581097,true,false,,,,
Q114418813,,,,false,,,,
Q114605369,NormalRank,Q6581097,true,false,,,,
Q1385794,NormalRank,Q6581097,true,false,,,,
Q160318,NormalRank,Q6581097,true,true,false,false,false,true
Q160318,NormalRank,Q6581097,true,true,true,false,false,false
Q16150274,NormalRank,Q6581097,true,false,,,,
Q16190676,NormalRank,Q6581097,true,false,,,,
Q16191229,NormalRank,Q6581097,true,false,,,,
Q16864093,NormalRank,Q6581097,true,false,,,,
Q16979822,NormalRank,Q6581097,true,false,,,,
Q17523926,NormalRank,Q6581072,true,false,,,,
Q22099925,NormalRank,Q6581097,true,false,,,,
Q23711016,NormalRank,Q6581097,true,false,,,,
Q23771428,NormalRank,Q6581097,true,false,,,,
Q27119675,NormalRank,Q6581097,true,false,,,,
Q28412157,NormalRank,Q6581072,true,true,false,false,false,true
Q28969538,NormalRank,Q6581097,true,false,,,,
Q4922569,NormalRank,Q6581097,true,false,,,,
Q4922790,NormalRank,Q6581097,true,false,,,,
Q5069253,NormalRank,Q6581097,true,false,,,,
Q5094851,NormalRank,Q6581097,true,false,,,,
Q54362350,NormalRank,Q6581097,true,false,,,,
Q56223136,NormalRank,Q6581097,true,false,,,,
Q56255440,NormalRank,Q6581097,true,false,,,,
Q56886833,NormalRank,Q6581097,true,false,,,,
Q5764812,NormalRank,Q6581097,true,false,,,,
Q5901400,NormalRank,Q6581097,true,false,,,,
Q59660308,NormalRank,Q6581097,true,false,,,,
Q6382284,NormalRank,Q6581097,true,false,,,,
Q6816221,NormalRank,Q6581072,true,false,,,,
Q7638222,NormalRank,Q6581097,true,false,,,,
Q7795953,NormalRank,Q6581097,true,false,,,,
Q7833112,NormalRank,Q6581097,true,false,,,,
Q7878253,NormalRank,Q6581097,true,false,,,,
Q8053618,NormalRank,Q6581097,true,false,,,,
Q57319,NormalRank,Q6581097,true,true,false,false,false,true
Q57788,NormalRank,Q6581097,true,true,false,false,false,true
Q58287,NormalRank,Q6581097,true,false,,,,
