who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
2577098,Ministry of Interior (Cambodia),Minister of Interior,1992-02-03,,,,,,0
2577098,Cambodian People's Party,Vice President of the Cambodian People's Party,2015-06-20,,,Hun Sen,,,1
2577098,,,,,,,,,2
2577098,Majority Leader (Cambodia),Majority Leader of the National Assembly,2015-01-22,2017-01-31,,Position established,,Position abolished,3
2577098,Parliament of Cambodia,Member of Parliament for Battambang,1993-06-14,,,,,,4
2577098,Battambang Province,Member of Parliament for Battambang,1993-06-14,,,,,,5
2577098,National Committee for Counter Trafficking,"Chairman of National Committee for Counter Trafficking in Person, Cambodia",2009,,,,,,6
