who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
18015039,"Ministry of Industry, Science, Technology and Innovation (Cambodia)","Minister of Industry, Science, Technology and Innovation",2013-09-24,,Q16191229,"Suy Sem, as Minister of Industry, Mines and Energy",,,0
18015039,Ministry of Commerce (Cambodia),Minister of Commerce,1994-10-24,2013-09-24,,Var Huot,Q7638222,Sun Chanthol,1
18015039,Parliament of Cambodia,Member of Parliament for Siem Reap,1998-11-25,2013-07-28,,,,,2
18015039,Siem Reap Province,Member of Parliament for Siem Reap,1998-11-25,2013-07-28,,,,,3
18015039,Kep Province,Member of Parliament for Kep,2013-09-23,,,,,,4
