who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
42858283,Ministry of Economy and Finance (Cambodia),Minister of Economy and Finance,2013-09-24,,Q6382284,Keat Chhon,,,0
42858283,Deputy Prime Minister of Cambodia,Deputy Prime Minister of Cambodia,2018-09-06,,,,,,1
42858283,"Ministry of Agriculture, Forestry and Fisheries (Cambodia)","Minister of Agriculture, Forestry and Fisheries",2022-10-08,2022-10-17,Q54362350,Veng Sakhon,Q114605369,Dith Tina,2
42858283,National Assembly of Cambodia,Member of the National Assembly,2018-09-05,,,,,,3
