who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
18015034,Ministry of National Defence (Cambodia),Minister of National Defence,2006-06-27,,,,,,0
18015034,,,1987,2004,Bou Thang,Bou Thang,,,1
18015034,Deputy Prime Minister of Cambodia,Deputy Prime Minister of Cambodia,2000,,,,,,2
18015034,Cambodian People's Party,Vice President of the Cambodian People's Party,2021-12-24,,,Hun Sen (2015),,,3
18015034,Ministry of Public Works and Transport (Cambodia),Minister of Transport Minister of Posts and Telecommunications,1982,1987,,,,,4
18015034,Ministry of Posts and Telecommunications (Cambodia),Minister of Transport Minister of Posts and Telecommunications,1982,1987,,,,,5
18015034,Parliament of Cambodia,Member of Parliament for Siem Reap,1993-06-14,,,,,,6
18015034,Siem Reap Province,Member of Parliament for Siem Reap,1993-06-14,,,,,,7
