who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
18015085,Cabinet of Cambodia,Minister of National Assembly–Senate Relations and Inspection,2004-07-16,,,,,,0
18015085,Deputy Prime Minister of Cambodia,Deputy Prime Minister of Cambodia,2008-09-25,,,,,,1
18015085,Parliament of Cambodia,Member of Parliament for Svay Rieng,1993,,,,,,2
18015085,Svay Rieng Province,Member of Parliament for Svay Rieng,1993,,,,,,3
18015085,Cambodian People's Party,Vice President of the Cambodian People's Party,2021-12-24,,,Hun Sen,,,4
