who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
18006902,"Royal Palace, Phnom Penh",Minister of the Royal Palace,1998-11-30,,,Office established,,,0
18006902,"Ministry of Agriculture, Forestry and Fisheries (Cambodia)","Minister of Agriculture, Forestry and Fisheries",1986,1989,,,,,1
18006902,Parliament of Cambodia,Member of Parliament for Kampong Chhnang,1993-06-14,,,,,,2
18006902,Kampong Chhnang Province,Member of Parliament for Kampong Chhnang,1993-06-14,,,,,,3
