who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
49851353,Ministry of Foreign Affairs and International Cooperation (Cambodia),Minister of Foreign Affairs and International Cooperation,2016-04-05,,Q58287,Hor Namhong,,,0
49851353,Deputy Prime Minister of Cambodia,Deputy Prime Minister of Cambodia,2018-09-06,,,,,,1
49851353,Ministry of Posts and Telecommunications (Cambodia),Minister of Posts and Telecommunications,2013-09-24,2016-04-04,So Khun,So Khun,Tram Iv Tek,Tram Iv Tek,2
49851353,Kandal (National Assembly constituency),Kandal Province,2018-09-05,,,,,,3
