who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
18006515,Deputy Prime Minister of Cambodia,Deputy Prime Minister of Cambodia,2008-09-25,,,,,,0
18006515,Parliament of Cambodia,Member of Parliament for Kampong Cham,2018-09-05,,Heng Samrin,Heng Samrin,,,1
18006515,Kampong Cham (National Assembly constituency),Member of Parliament for Kampong Cham,2018-09-05,,Heng Samrin,Heng Samrin,,,2
18006515,Banteay Meanchey,Member of Parliament for Banteay Meanchey,2003-09-27,2018-07-29,,,,,3
