who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
53531406,Cabinet of Cambodia,Minister in Charge of the Office of the Council of Ministers,2017-03-16,,Q1385794,Sok An,,,0
53531406,Deputy Prime Minister of Cambodia,Deputy Prime Minister of Cambodia,2007-09-05,,,,,,1
53531406,,Chairman of the National Authority for Land Dispute Resolution,2013-09-24,2018-09-12,,,Q22099925,Chea Sophara,2
53531406,Parliament of Cambodia,Member of Parliament for Prey Veng,1993-06-14,2018-07-29,,,,,3
53531406,Prey Veng (National Assembly constituency),Member of Parliament for Prey Veng,1993-06-14,2018-07-29,,,,,4
53531406,Parliament of Cambodia,Member of Parliament for Takéo,2018-09-05,,,,,,5
53531406,Takéo Province,Member of Parliament for Takéo,2018-09-05,,,,,,6
