position,title
Q42298242,King
Q1999325,Prime Minister
Q29146839,Deputy Prime Minister
Q114418480,"Minister of Agriculture, Forestry and Fisheries"
Q114417357,Minister of Civil Service
Q114417331,Minister of Commerce
Q114417369,Minister of Cults and Religion
Q114417371,Minister of Culture and Fine Arts
Q113501557,Minister of Defence
Q113501533,Minister of Economy and Finance
Q114417374,"Minister of Education, Youth and Sport"
Q114417375,Minister of Environment
Q59326617,Minister of Foreign Affairs
Q113501566,Minister of Health
Q114417393,Minister of Industry and Handicrafts
Q114417394,"Minister of Industry, Science, Technology and Innovation"
Q59326295,Minister of Information
Q113501549,Minister of Interior
Q114417280,Minister of Justice
Q114417377,Minister of Labour and Vocational Training
Q114417297,"Minister of Land Management, Urban Planning and Construction"
Q114417383,Minister of Mines and Energy
Q62063457,Minister of National Assembly–Senate Relations and Inspection
Q114417381,Minister of Planning
Q114417384,Minister of Posts and Telecommunications
Q114417386,Minister of Public Works and Transport
Q114419520,Minister of the Royal Palace
Q114417390,Minister of Rural Development
Q114417432,"Minister of Social Affairs, Veterans and Youth Rehabilitation"
Q114417459,Minister of Tourism
Q114417484,Minister of Water Resources and Meteorology
Q114417498,Minister of Women's Affairs
Q114418549,Minister in Charge of the Office of the Council of Ministers
Q114417500,Secretary of State for Civil Aviation
