item,itemLabel,position,positionLabel,startDate,endDate
Q57788,Hun Sen,,Prime Minister,2018-09-06,
Q28969538,Bin Chhin,,Permanent Deputy Prime Minister,2018-09-06,
Q28969538,Bin Chhin,,Minister in Charge of the Office of the Council of Ministers,2018-09-06,
Q16979822,Aun Pornmoniroth,,Deputy Prime Minister,2018-09-06,
Q16979822,Aun Pornmoniroth,,Minister of Economy and Finance,2018-09-06,
Q23771428,Prak Sokhonn,,Deputy Prime Minister,2018-09-06,
Q23771428,Prak Sokhonn,,Minister of Foreign Affairs and International Cooperation,2018-09-06,
Q16150274,Sar Kheng,,Deputy Prime Minister,2018-09-06,
Q16150274,Sar Kheng,,Minister of Interior,2018-09-06,
Q22099925,Chea Sophara,,Deputy Prime Minister,2018-09-06,
Q22099925,Chea Sophara,,"Minister of Land Management, Urban Planning and Construction",2018-09-06,
Q6816221,Men Sam An,,Deputy Prime Minister,2018-09-06,
Q6816221,Men Sam An,,Minister of National Assembly–Senate Relations and Inspection,2018-09-06,
Q4922569,Tea Banh,,Deputy Prime Minister,2018-09-06,
Q4922569,Tea Banh,,Minister of National Defence,2018-09-06,
Q58287,Hor Namhong,,Deputy Prime Minister,2018-09-06,
Q8053618,Yim Chhaily,,Deputy Prime Minister,2018-09-06,
Q111745856,Ke Kim Yan,,Deputy Prime Minister,2018-09-06,
Q54362350,Veng Sakhon,,"Minister of Agriculture, Forestry and Fisheries",2018-09-06,
,Pich Bunthin,,Minister of Civil Service,2018-09-06,2020-03-30
,Prum Sokha,,Minister of Civil Service,2020-03-30,
Q59660308,Pan Sorasak,,Minister of Commerce,2018-09-06,
Q5764812,Him Chhem,,Minister of Cults and Religion,2018-09-06,2020-03-30
,Chhit Sokhon,,Minister of Cults and Religion,2020-03-30,
Q17523926,Phoeurng Sackona,,Minister of Culture and Fine Arts,2018-09-06,
Q16864093,Hang Chuon Naron,,"Minister of Education, Youth and Sport",2018-09-06,
Q56223136,Say Sam Al,,Minister of Environment,2018-09-06,
Q56255440,Mam Bunheng,,Minister of Health,2018-09-06,
Q4922790,Khieu Kanharith,,Minister of Information,2018-09-06,
Q23711016,Ang Vong Vathana,,Minister of Justice,2018-09-06,2020-03-30
Q111574173,Keut Rith,,Minister of Justice,2020-03-30,
,Ith Sam Heng,,Minister of Labour and Vocational Training,2018-09-06,
Q16191229,Suy Sem,,Minister of Mines and Energy,2018-09-06,
Q5094851,Chhay Than,,Minister of Planning,2018-09-06,
Q7833112,Tram Iv Tek,,Minister of Posts and Telecommunications,2018-09-06,2020-03-30
,Chea Vandeth,,Minister of Posts and Telecommunications,2020-03-30,
Q7638222,Sun Chanthol,,Minister of Public Works and Transport,2018-09-06,
Q7878253,Ouk Rabun,,Minister of Rural Development,2018-09-06,
Q5069253,Cham Prasidh,,Minister of Industry and Handicrafts,2018-09-06,2020-03-30
Q5069253,Cham Prasidh,,"Minister of Industry, Science, Technology and Innovation",2020-03-30,
,Vong Soth,,"Minister of Social Affairs, Veterans and Youth Rehabilitation",2018-09-06,
Q7795953,Thong Khon,,Minister of Tourism,2018-09-06,
,Lim Kean Hor,,Minister of Water Resources and Meteorology,2018-09-06,
Q28412157,Ing Kantha Phavi,,Minister of Women's Affairs,2018-09-06,
,Mao Havannall,,Secretary of State for Civil Aviation,2018-09-06,
