position,person,personID,start,end
Member of the National Assembly,Kong Sam Ol,Q16190676,1993,
Member of the National Assembly,Sar Kheng,Q16150274,1993-06-14,
Member of the National Assembly,Bin Chhin,Q28969538,1993-06-14,2018-07-29
Member of the National Assembly,Tea Banh,Q4922569,1993-06-14,
Member of the National Assembly,Khieu Kanharith,Q4922790,1998-11-25,2008-07-27
Member of the National Assembly,Hor Namhong,Q58287,1998-11-25,2018-07-29
Member of the National Assembly,Keat Chhon,Q6382284,1998-11-25,2018-07-29
Member of the National Assembly,Men Sam An,Q6816221,2003,
Member of the National Assembly,Suy Sem,Q16191229,2003-09-27,2008-10-09
Member of the National Assembly,Tram Iv Teuk,Q7833112,2003-09-27,2008-10-10
Member of the National Assembly,Yim Chhaily,Q8053618,2003-09-27,2018-07-29
Member of the National Assembly,Sok An,Q1385794,2013-09-23,2017-03-15
Member of the National Assembly,Suy Sem,Q16191229,2013-09-23,
Member of the National Assembly,Ouk Rabun,Q7878253,2013-09-23,2018-09-18
Member of the National Assembly,Aun Porn Moniroth,Q16979822,2018-09-05,
Member of the National Assembly,Chea Sophara,Q22099925,2018-09-05,2022-12-24
Member of the National Assembly,Prak Sokhon,Q23771428,2018-09-05,
Member of the National Assembly,Bin Chhin,Q28969538,2018-09-05,
Member of the National Assembly,Khieu Kanharith,Q4922790,2018-09-05,
Member of the National Assembly,Tram Iv Teuk,Q7833112,2018-09-05,2021-06-01
Member of the National Assembly,Yim Chhaily,Q8053618,2018-09-05,
