position,person,personID,start,end
King,Norodom Sihamoni,Q57319,2004-10-14,
Prime Minister,Hun Sen,Q57788,1998-11-30,
Deputy Prime Minister,Tea Banh,Q4922569,2000,
Deputy Prime Minister,Hor Namhong,Q58287,2004-07-16,
Deputy Prime Minister,Bin Chhin,Q28969538,2007-09-05,
Deputy Prime Minister,Men Sam An,Q6816221,2008-09-25,
Deputy Prime Minister,Aun Porn Moniroth,Q16979822,2018-09-06,
Minister of Defence,Tea Banh,Q4922569,2006-06-27,
Minister of Economy and Finance,Aun Porn Moniroth,Q16979822,2013-09-24,
Minister of Foreign Affairs,Prak Sokhon,Q23771428,2016-04-05,
Minister of Health,Mam Bunheng,Q56255440,2008-09-25,
Minister of Interior,Sar Kheng,Q16150274,1992-02-03,
Minister of National Assembly–Senate Relations and Inspection,Men Sam An,Q6816221,2004-07-16,
